iter	Logloss
0	0.668313374
1	0.651068422
2	0.6263881892
3	0.605106759
4	0.5864152347
5	0.5587949919
6	0.5458905296
7	0.5332696392
8	0.5155121376
9	0.4996712682
10	0.4877580342
11	0.4761591888
12	0.4653545229
13	0.4578451614
14	0.4484011115
15	0.4353512023
16	0.4223498555
17	0.4166724337
18	0.4099511399
19	0.4008820361
20	0.3863415572
21	0.3788056023
22	0.3732530964
23	0.3645596927
24	0.3592486901
25	0.3540738295
26	0.3482553946
27	0.3429162215
28	0.3377759648
29	0.3304246857
30	0.3266900243
31	0.3209057104
32	0.3156524161
33	0.3096882036
34	0.3053677047
35	0.3032841278
36	0.2974584865
37	0.2925477231
38	0.2901791767
39	0.2856095351
40	0.2792846473
41	0.2744884906
42	0.270895504
43	0.2655040081
44	0.2615868169
45	0.2591432494
46	0.2565438723
47	0.2534777846
48	0.2497595996
49	0.2468901252
50	0.2447920044
51	0.2435532508
52	0.2410294417
53	0.2402109714
54	0.2377541962
55	0.2365565205
56	0.2348620938
57	0.2314702859
58	0.2295271934
59	0.2280915926
60	0.2270848994
61	0.225212423
62	0.2233463734
63	0.2213771046
64	0.2201161508
65	0.2187713289
66	0.2176572134
67	0.2164964554
68	0.2151146066
69	0.2142424819
70	0.2138392541
71	0.2124042856
72	0.2120157619
73	0.2111299269
74	0.2103343468
75	0.2091065941
76	0.2085122929
77	0.2069605968
78	0.2058039211
79	0.2052621002
80	0.2031000419
81	0.2021359508
82	0.201602342
83	0.2008606962
84	0.2004486965
85	0.199525398
86	0.198160952
87	0.1978817946
88	0.1969809267
89	0.1962584127
90	0.1955694608
91	0.1952051619
92	0.1947743532
93	0.1945339984
94	0.1942599509
95	0.1937189827
96	0.1934404608
97	0.1931765642
98	0.1926472179
99	0.1923929197
100	0.1918494481
101	0.1910438869
102	0.1908449114
103	0.1906973638
104	0.1900883773
105	0.1899080834
106	0.1887913154
107	0.1879649875
108	0.1878102234
109	0.1871981886
110	0.1865710557
111	0.1858565778
112	0.1856988427
113	0.1853788698
114	0.1852118888
115	0.1847162484
116	0.1845770025
117	0.184071023
118	0.1837953229
119	0.1835333469
120	0.1830303444
121	0.1827831385
122	0.1826795108
123	0.1822916508
124	0.1822123416
125	0.1821002825
126	0.1819802944
127	0.1818142729
128	0.1817144285
129	0.1815887118
130	0.1814362343
131	0.1813156871
132	0.1810560845
133	0.1809518428
134	0.1808426518
135	0.1807241255
136	0.1805936786
137	0.1805010474
138	0.18036104
139	0.180220643
140	0.1801108965
141	0.1800029818
142	0.1798588793
143	0.1797031363
144	0.179593733
145	0.1794522406
146	0.1791584674
147	0.1790514719
148	0.1789169879
149	0.1787889681
150	0.1786772119
151	0.1784140224
152	0.1783295825
153	0.1781931279
154	0.1780635562
155	0.1778614587
156	0.1777697903
157	0.1776188611
158	0.1775324984
159	0.1769692575
160	0.1768512777
161	0.1765827393
162	0.1764813637
163	0.1762353258
164	0.1761744581
165	0.1760573034
166	0.1759322846
167	0.1758257515
168	0.1756834232
169	0.1755651867
170	0.1753818686
171	0.1749207891
172	0.1747875671
173	0.1743571113
174	0.1741871453
175	0.1740939415
176	0.173927083
177	0.1737258944
178	0.1735679292
179	0.1734500498
180	0.1733493487
181	0.1732525041
182	0.1731720805
183	0.1731051099
184	0.1729157736
185	0.1728262317
186	0.1726795034
187	0.1725232427
188	0.1723904697
189	0.1723015015
190	0.1721732139
191	0.1718291527
192	0.1717353481
193	0.1716170724
194	0.1715263067
195	0.1714419075
196	0.1713060243
197	0.1712457294
198	0.1711873493
199	0.1710957003
200	0.1710277626
201	0.170928034
202	0.1706413616
203	0.1704765433
204	0.1703975295
205	0.1700983115
206	0.1700241284
207	0.1698294947
208	0.169709771
209	0.1694631477
210	0.169362802
211	0.1692810342
212	0.1691832973
213	0.1688103139
214	0.1685576068
215	0.1684718875
216	0.1683968709
217	0.1680757148
218	0.1679676447
219	0.1678908095
220	0.1677750869
221	0.1676190113
