iter	Passed	Remaining
0	148	73871
1	161	40142
2	175	29033
3	190	23648
4	204	20289
5	216	17863
6	232	16346
7	246	15186
8	262	14302
9	277	13595
10	291	12951
11	303	12334
12	316	11855
13	328	11390
14	340	11000
15	353	10702
16	364	10366
17	377	10098
18	390	9881
19	402	9667
20	415	9468
21	425	9254
22	438	9094
23	449	8908
24	460	8752
25	471	8589
26	482	8456
27	494	8336
28	506	8229
29	519	8137
30	530	8030
31	541	7926
32	552	7813
33	562	7706
34	575	7639
35	585	7552
36	598	7485
37	610	7418
38	622	7359
39	634	7302
40	646	7242
41	658	7179
42	670	7122
43	681	7064
44	700	7080
45	711	7018
46	723	6977
47	733	6910
48	743	6844
49	753	6779
50	763	6725
51	774	6671
52	784	6614
53	793	6553
54	802	6496
55	813	6451
56	824	6408
57	833	6355
58	843	6302
59	853	6259
60	864	6223
61	876	6193
62	886	6146
63	897	6113
64	908	6078
65	917	6033
66	928	6002
67	938	5962
68	947	5919
69	958	5886
70	968	5854
71	978	5816
72	988	5784
73	999	5751
74	1008	5714
75	1018	5683
76	1028	5651
77	1037	5614
78	1048	5586
79	1059	5559
80	1070	5535
81	1080	5506
82	1102	5539
83	1112	5510
84	1122	5482
85	1134	5463
86	1145	5436
87	1155	5411
88	1166	5388
89	1177	5366
90	1186	5333
91	1196	5308
92	1207	5284
93	1219	5265
94	1229	5240
95	1239	5217
96	1251	5199
97	1263	5181
98	1273	5159
99	1282	5130
100	1292	5107
101	1302	5080
102	1313	5063
103	1323	5041
104	1334	5021
105	1345	5002
106	1355	4980
107	1367	4962
108	1377	4943
109	1388	4922
110	1399	4906
111	1412	4894
112	1422	4872
113	1431	4847
114	1440	4821
115	1449	4799
116	1459	4777
117	1468	4754
118	1480	4738
119	1488	4713
120	1498	4693
121	1508	4673
122	1519	4657
123	1528	4636
124	1538	4615
125	1548	4596
126	1557	4575
127	1566	4553
128	1577	4537
129	1589	4522
130	1600	4508
131	1610	4488
132	1622	4476
133	1634	4463
134	1646	4450
135	1656	4432
136	1666	4414
137	1675	4394
138	1687	4381
139	1699	4369
140	1709	4353
141	1720	4337
142	1731	4322
143	1741	4304
144	1751	4288
145	1764	4277
146	1777	4267
147	1789	4255
148	1800	4242
149	1811	4225
150	1821	4209
151	1831	4193
152	1843	4181
153	1854	4167
154	1864	4149
155	1875	4135
156	1885	4119
157	1897	4107
158	1909	4094
159	1919	4078
160	1928	4060
161	1940	4048
162	1949	4031
163	1959	4014
164	1969	3998
165	1977	3979
166	1987	3964
167	1999	3951
168	2009	3936
169	2019	3919
170	2028	3902
171	2037	3885
172	2047	3870
173	2058	3856
174	2068	3840
175	2080	3830
176	2097	3828
177	2110	3816
178	2124	3809
179	2133	3792
180	2143	3777
181	2154	3763
182	2164	3749
183	2174	3735
184	2185	3720
185	2195	3705
186	2205	3690
187	2216	3678
188	2229	3668
189	2240	3655
190	2252	3644
191	2263	3631
192	2274	3617
193	2284	3603
194	2293	3587
195	2305	3576
196	2314	3560
197	2325	3547
198	2338	3537
199	2350	3526
200	2361	3512
201	2370	3497
202	2380	3482
203	2390	3469
204	2401	3455
205	2412	3442
206	2423	3430
207	2434	3417
208	2446	3405
209	2456	3391
210	2466	3378
211	2477	3365
212	2486	3350
213	2495	3334
214	2506	3322
215	2516	3308
216	2526	3294
217	2534	3278
218	2547	3268
219	2561	3259
220	2570	3245
221	2579	3230
222	2589	3216
223	2599	3202
224	2607	3187
225	2620	3177
226	2633	3166
227	2645	3155
228	2656	3143
229	2669	3133
