iter	Logloss
0	0.6427080796
1	0.6055985548
2	0.5790747642
3	0.5520838769
4	0.5293714416
5	0.5123327513
6	0.4856488547
7	0.4638590357
8	0.4526677535
9	0.4341683735
10	0.4169485198
11	0.4103902759
12	0.3974229203
13	0.3892897713
14	0.376781672
15	0.3682440017
16	0.360425336
17	0.350571886
18	0.3463176751
19	0.3344307269
20	0.3265677149
21	0.3231892369
22	0.3162704878
23	0.3117484257
24	0.303058818
25	0.2991545824
26	0.293532685
27	0.2901392388
28	0.2863324615
29	0.2815266335
30	0.2780531471
31	0.2745646551
32	0.2701222617
33	0.2684917517
34	0.2663337787
35	0.2622179191
36	0.260900644
37	0.2588714862
38	0.2568636388
39	0.2529091293
40	0.25032898
41	0.2486124031
42	0.245562379
43	0.2438369276
44	0.2427845337
45	0.2412882344
46	0.2394339269
47	0.2389506328
48	0.2374725302
49	0.236849428
50	0.2359806296
51	0.2348883124
52	0.2344085614
53	0.2336384949
54	0.2324451518
55	0.2316096992
56	0.2312253098
57	0.2304991034
58	0.2293524248
59	0.2288644446
60	0.2274165812
61	0.2266766211
62	0.2263200737
63	0.2257277814
64	0.2243124436
65	0.2239859972
66	0.2236505771
67	0.222924395
68	0.2226170429
69	0.2222747586
70	0.2220480001
71	0.2218415097
72	0.2212326998
73	0.220603957
74	0.2203435759
75	0.2196436138
76	0.2182295873
77	0.2180146117
78	0.2176224007
79	0.2173784385
80	0.2170794612
81	0.2168310773
82	0.2164819289
83	0.2159097818
84	0.2155332714
85	0.2153776506
86	0.2150223677
87	0.2146573545
88	0.2140270795
89	0.2138868822
90	0.2133974831
91	0.2130613318
92	0.2128691316
93	0.2126152438
94	0.2123594693
95	0.2116888627
96	0.2114461499
97	0.2112320205
98	0.2107002418
99	0.2105262432
100	0.2101938366
101	0.2100131643
102	0.2099327114
103	0.2097201402
104	0.2095276674
105	0.2091193841
106	0.2089144569
107	0.208775024
108	0.2085745031
109	0.2083369636
110	0.2078533612
111	0.2076804125
112	0.2074040084
113	0.2072313604
114	0.2071312327
115	0.2069650687
116	0.2067692853
117	0.2065626393
118	0.206354081
119	0.2061448864
120	0.2058598017
121	0.2056987867
122	0.2055332736
123	0.2048927114
124	0.2046749067
125	0.2044154016
126	0.2038215009
127	0.2033783926
128	0.2032666305
129	0.203112794
130	0.2029904134
131	0.2027948009
132	0.2025396934
133	0.2020354501
134	0.2015137348
135	0.2013850066
136	0.2011688509
137	0.2009913453
138	0.2006123163
139	0.2003613302
140	0.2002398535
141	0.2000034536
142	0.1997671168
143	0.1996238168
144	0.199400418
145	0.1989686191
146	0.1988626652
147	0.1987290224
148	0.1980039788
149	0.1978150448
150	0.1976481628
151	0.1973555237
152	0.19719514
153	0.196990458
154	0.1967774094
155	0.1966112633
156	0.1962292534
157	0.1961167345
158	0.1960011227
159	0.195863497
160	0.1957125627
161	0.1953668177
162	0.1951567695
163	0.1948637513
164	0.1945787916
165	0.1943961836
166	0.1941359322
167	0.1938508926
168	0.1934281692
169	0.1933043139
170	0.1930860478
171	0.1929576369
172	0.1928566103
173	0.1926813014
174	0.1925632867
175	0.1924271417
176	0.1922012561
177	0.1918150868
178	0.1915616818
179	0.1912162871
180	0.1909665799
181	0.1907601799
182	0.1904355079
183	0.1902779422
184	0.1900618076
185	0.1899574766
186	0.1898059749
187	0.1895922102
188	0.1894055786
189	0.1892650949
190	0.1890913504
191	0.1887894272
192	0.188651659
193	0.1885707163
194	0.188419523
195	0.1881768822
196	0.1879929191
197	0.1877843831
198	0.187650094
199	0.1875694369
200	0.1873585205
201	0.187038908
202	0.1868456697
203	0.1866011106
204	0.1864787173
205	0.1862936457
206	0.1862110236
207	0.1860840331
208	0.1858188022
209	0.1856892377
210	0.1855286193
211	0.185439325
212	0.1849891772
213	0.1848973303
214	0.1847270872
215	0.1844691376
216	0.1842475582
217	0.1841010542
218	0.1838395186
219	0.1836644991
220	0.1835746854
221	0.1835059446
222	0.1831887484
223	0.1829242778
224	0.1827829463
225	0.1825530033
226	0.1823909721
227	0.1822295602
228	0.1821428408
229	0.1820390242
230	0.1818481694
231	0.1816990892
232	0.1815337711
233	0.1813548703
234	0.1812173278
235	0.1810482125
236	0.180872268
237	0.180774949
238	0.1806233432
239	0.1804559635
240	0.1803058298
241	0.1799801855
242	0.1797184082
243	0.1794202702
244	0.1792671959
245	0.1791397498
246	0.178916157
247	0.178741912
248	0.1785625638
249	0.178336155
250	0.1781480894
251	0.1779783696
252	0.1778363625
253	0.177743495
254	0.1775559613
255	0.1773074682
256	0.177210761
257	0.1770864848
258	0.1769350502
259	0.1767777086
260	0.1766442551
261	0.1764626136
262	0.176331083
263	0.1761261751
264	0.1759938805
265	0.1758575167
266	0.175683934
267	0.1755524057
268	0.175430739
269	0.1753073354
270	0.1751838472
271	0.175094011
272	0.1748684724
273	0.1746128376
274	0.1743502526
275	0.174225538
276	0.1740980054
277	0.1739321022
278	0.173831808
279	0.173711204
280	0.1735484893
281	0.1734453585
282	0.1733677754
283	0.1732593777
284	0.1730949249
285	0.1730488073
286	0.1729639349
287	0.1728334441
288	0.1725794103
289	0.1724699257
290	0.1723566598
291	0.1722160593
292	0.1720678759
293	0.1719579914
294	0.1717992662
295	0.1715781442
296	0.1714647433
297	0.1713498787
298	0.1712293704
299	0.1711226758
300	0.1710491442
301	0.1708414317
302	0.1706694778
303	0.170532993
304	0.170193794
305	0.1700450288
306	0.1699103687
307	0.1697544363
308	0.1696820462
309	0.1695462644
310	0.1694535617
311	0.1693224844
312	0.1692492739
313	0.1690399056
314	0.1688620797
315	0.168753274
316	0.1686824629
317	0.1684405347
318	0.1683121075
319	0.168229159
320	0.1681219035
321	0.167929186
322	0.167797533
323	0.1676365375
324	0.1674933574
325	0.1674348154
326	0.1672724915
327	0.1671773335
328	0.167060274
329	0.16694846
330	0.1668144446
331	0.1667022311
332	0.1665543304
333	0.1664750731
334	0.1663270633
335	0.1662110546
336	0.166122319
337	0.1659272022
338	0.1657007285
339	0.1655747634
340	0.165463078
341	0.1653312289
342	0.1652334319
343	0.1651753065
344	0.1651111417
345	0.1649617823
346	0.1648579981
347	0.1647907795
348	0.1646648224
349	0.1645432143
350	0.1644242862
351	0.1643560919
