iter	Passed	Remaining
0	11	5714
1	22	5406
2	33	5309
3	43	5139
4	53	5056
5	63	5011
6	73	4978
7	84	4968
8	95	4958
9	105	4918
10	115	4887
11	125	4888
12	135	4861
13	147	4895
14	158	4903
15	169	4886
16	180	4896
17	191	4900
18	202	4890
19	213	4894
20	223	4874
21	234	4869
22	246	4869
23	256	4860
24	267	4840
25	277	4831
26	288	4817
27	299	4805
28	310	4805
29	320	4790
30	330	4766
31	341	4752
32	351	4746
33	362	4728
34	372	4712
35	382	4697
36	394	4697
37	405	4693
38	416	4682
39	426	4675
40	438	4674
41	449	4667
42	460	4658
43	472	4658
44	483	4653
45	494	4646
46	504	4627
47	514	4605
48	523	4585
49	533	4569
50	543	4552
51	554	4542
52	564	4528
53	575	4515
54	585	4503
55	596	4494
56	606	4483
57	619	4482
58	629	4469
59	641	4466
60	651	4454
61	662	4442
62	672	4431
63	683	4418
64	693	4403
65	703	4392
66	713	4379
67	724	4366
68	735	4356
69	746	4352
70	757	4340
71	767	4327
72	777	4313
73	787	4301
74	798	4291
75	808	4274
76	818	4260
77	828	4248
78	838	4234
79	848	4223
80	860	4217
81	870	4202
82	880	4190
83	890	4178
84	902	4171
85	912	4157
86	921	4143
87	931	4129
88	942	4120
89	952	4104
90	962	4092
91	971	4077
92	981	4064
93	991	4051
94	1001	4037
95	1012	4027
96	1023	4018
97	1032	4004
98	1043	3994
99	1053	3981
100	1064	3971
101	1074	3962
102	1085	3952
103	1096	3942
104	1106	3930
105	1116	3918
106	1129	3916
107	1141	3910
108	1153	3903
109	1163	3893
110	1174	3881
111	1184	3869
112	1196	3863
113	1206	3851
114	1216	3840
115	1227	3830
116	1238	3821
117	1248	3808
118	1259	3799
119	1270	3789
120	1280	3776
121	1289	3763
122	1299	3749
123	1308	3736
124	1318	3723
125	1327	3709
126	1337	3696
127	1346	3683
128	1358	3674
129	1368	3663
130	1383	3663
131	1395	3657
132	1408	3653
133	1423	3654
134	1437	3651
135	1448	3643
136	1462	3639
137	1475	3635
138	1487	3627
139	1499	3619
140	1510	3611
141	1523	3604
142	1535	3596
143	1548	3590
144	1559	3581
145	1572	3574
146	1583	3566
147	1596	3559
148	1610	3555
149	1622	3548
150	1635	3541
151	1650	3539
152	1664	3535
153	1677	3529
154	1691	3523
155	1704	3518
156	1717	3511
157	1729	3502
158	1741	3494
159	1754	3486
160	1767	3479
161	1778	3470
162	1792	3463
163	1805	3457
164	1817	3447
165	1829	3438
166	1842	3431
167	1854	3422
168	1866	3413
169	1878	3404
170	1890	3394
171	1902	3384
172	1914	3375
173	1928	3368
174	1940	3360
175	1955	3355
176	1969	3348
177	1982	3341
178	1994	3332
179	2005	3320
180	2018	3312
181	2031	3303
182	2044	3295
183	2057	3287
184	2070	3279
185	2083	3270
186	2095	3260
187	2106	3250
188	2118	3239
189	2130	3229
190	2143	3221
191	2155	3211
192	2168	3202
193	2180	3192
194	2192	3181
195	2204	3171
196	2216	3161
197	2229	3152
198	2241	3142
199	2252	3131
200	2265	3122
201	2278	3113
202	2289	3102
203	2301	3091
204	2314	3082
205	2326	3072
206	2339	3062
207	2352	3054
208	2368	3047
209	2380	3037
210	2392	3027
211	2404	3017
212	2419	3009
213	2431	2999
214	2445	2991
215	2457	2981
216	2471	2972
217	2484	2962
218	2498	2955
219	2512	2947
220	2526	2937
221	2538	2927
222	2551	2917
223	2568	2911
224	2581	2902
225	2594	2892
226	2606	2882
227	2619	2872
228	2633	2862
229	2644	2851
230	2656	2840
231	2669	2830
232	2681	2819
233	2693	2808
234	2706	2798
235	2719	2788
236	2731	2778
237	2745	2768
238	2757	2757
239	2770	2747
240	2782	2736
241	2795	2726
242	2808	2715
243	2821	2705
244	2833	2694
245	2846	2684
246	2860	2675
247	2873	2664
248	2885	2653
249	2897	2642
250	2910	2632
251	2923	2621
252	2935	2610
253	2948	2600
254	2961	2589
255	2973	2578
