customer_number,berlangganan_deposito
445420,0
585604,0
888824,0
816820,0
542716,0
937852,0
434084,0
230861,0
159684,0
274159,0
415073,0
839604,1
222848,0
746851,0
359083,0
764740,0
532666,0
542489,0
683800,0
393880,0
346443,0
722690,0
797639,0
974186,1
774649,0
482188,0
312516,0
363861,0
714683,0
708370,0
371413,0
630217,0
571146,0
962328,0
470375,0
945629,0
179592,0
744791,0
289641,1
595829,0
620262,0
738283,0
288862,1
854233,0
401365,0
671370,0
307359,0
845744,0
833496,0
889877,0
600454,0
595366,0
299980,0
316195,0
892132,0
429227,0
568864,0
453514,0
655724,0
405125,0
357624,0
706564,0
328177,0
322194,0
415259,0
737899,0
934827,0
932482,0
452141,0
252326,0
543165,0
961597,0
529109,0
830645,0
628282,0
989235,0
779931,0
171152,1
467849,0
424751,0
335651,0
960826,0
307645,0
126669,0
876278,0
464099,0
682185,0
912996,0
540820,0
667534,0
232173,0
503340,0
524302,0
722557,0
217598,0
169002,0
651324,0
663126,0
621228,0
963929,0
809507,0
453945,0
743732,1
385403,1
241287,1
737937,0
125159,0
122370,0
814180,0
945339,0
364136,0
343072,0
938465,0
149951,0
222232,0
832629,0
296781,0
748715,0
604027,0
859866,0
792616,0
465754,0
678835,0
998270,0
166767,0
739982,0
806252,0
921673,0
611081,0
818716,0
230739,0
216209,0
516335,0
644791,0
176058,0
979898,0
503495,0
878173,0
722870,0
724786,0
659692,0
159203,0
155945,0
277862,0
873897,0
445443,0
818967,0
478589,0
991622,0
511840,0
459299,0
822075,0
523100,0
304343,0
221439,0
818521,0
728235,0
917490,0
108047,0
104801,0
273368,1
676406,0
278995,0
112831,1
601516,0
296954,0
982848,0
428287,0
679849,0
744389,0
558008,0
861444,0
826041,0
869683,0
800301,0
590588,0
476971,0
897567,0
710714,0
791479,0
198512,0
726908,1
465365,0
487974,0
103998,1
450545,0
700295,0
592903,0
740969,0
545984,1
792271,0
638055,0
905049,0
769789,0
285737,0
697928,0
539662,1
426578,0
914620,0
122847,0
448954,0
664546,0
252673,0
379979,0
739389,0
896794,0
922027,0
788709,0
226556,0
635801,0
724670,0
456865,0
789206,0
713452,0
503601,0
694845,0
699198,0
871218,0
701739,0
792667,0
265126,0
985164,0
225460,0
277911,0
131758,0
396481,0
224647,0
763141,0
579637,0
534004,0
390471,0
585692,0
487001,0
274990,0
676316,0
468239,0
212058,0
967235,0
464472,0
269117,0
582426,0
576946,0
932807,0
689967,0
189240,0
628987,0
581662,0
294999,0
219955,0
496583,0
494591,0
232619,0
472050,0
729890,1
426399,0
322143,0
110452,0
183222,0
913723,0
830481,0
378477,0
296209,0
190961,0
230615,0
267515,0
373488,0
978201,0
477140,0
485900,1
869092,0
223766,0
690418,0
758624,0
615065,0
591932,0
308745,0
913671,0
834323,0
659254,0
193611,0
750025,0
537106,0
898654,0
210175,0
288396,0
737836,0
421587,0
529398,0
639811,1
284972,0
514337,0
271244,0
328686,0
362004,0
816914,0
507435,0
712306,0
254685,0
386884,0
851130,0
460150,0
811973,0
745161,0
315385,0
563315,0
338389,0
365425,0
561291,0
270500,0
196114,0
997564,0
992095,1
876322,0
276632,0
560577,0
680475,0
930873,0
555807,0
946777,0
188093,0
482963,0
193273,0
283090,0
848119,0
497484,1
356839,0
632869,0
406814,0
641533,0
301093,0
660104,0
780953,0
340391,0
784427,0
338068,0
329629,1
113787,1
203540,0
651214,0
201370,1
476381,0
915265,0
474798,1
719689,0
412655,0
277752,0
802606,0
125987,1
658738,0
889189,0
706482,0
531267,0
942505,0
482784,0
939997,0
377166,0
231926,0
176651,0
257866,0
611931,0
366275,0
191757,0
226569,1
326799,0
596151,0
883193,0
484656,1
591478,0
644854,1
941581,0
970704,0
671104,0
605449,0
714827,0
573043,1
113680,0
123503,0
346346,0
951809,0
615098,0
699715,0
840866,0
266799,0
317131,0
742332,1
699479,0
805118,0
558782,0
508840,0
906755,0
193533,0
772363,0
547284,0
520405,0
365655,0
662595,1
468769,0
291644,0
731503,0
594134,0
128805,0
887876,0
563616,0
212992,0
616978,0
263193,0
770567,0
761233,0
354673,0
727914,0
632569,0
129143,0
114071,0
357009,0
425626,0
948230,0
853830,0
400981,0
639476,1
502379,0
687983,0
275643,0
237839,0
239402,0
514148,0
655574,0
424505,0
261742,0
830778,0
307564,0
181282,1
579268,0
517628,0
311591,0
407559,0
951533,0
721635,0
850812,0
107682,0
666748,0
741527,0
142367,0
462241,0
774990,0
136689,0
164173,0
804037,0
457631,0
791214,0
878170,0
903342,0
906625,0
198012,0
423121,0
156421,0
889223,0
791237,0
384223,0
920888,0
376661,0
519558,0
509405,0
791661,0
838833,0
825702,0
283713,0
108910,0
273331,0
261172,0
761571,1
557998,0
703637,0
160766,0
292105,0
629895,0
774393,0
823228,0
760033,0
964709,0
961596,0
261557,0
398386,0
277847,0
347117,0
509511,0
135224,0
774196,0
792898,0
146314,0
988194,0
395927,0
327809,0
